Car Model,Year,Price,Quantity
Honda Civic,2019,20000,10
Toyota Camry,2018,25000,8
Ford Mustang,2020,35000,5
Chevrolet Malibu,2017,22000,12
Honda Accord,2019,23000,7
Toyota Corolla,2021,24000,9
Ford Fusion,2018,18000,6
Chevrolet Cruze,2017,16000,11
Honda CR-V,2020,28000,8
Toyota RAV4,2022,32000,6
Ford Escape,2018,20000,9
Chevrolet Equinox,2019,22000,10
Honda Pilot,2017,30000,4
Toyota Highlander,2020,38000,7
Ford Explorer,2021,40000,5
Nissan Sentra,2019,19000,8
Volkswagen Jetta,2018,22000,7
Hyundai Elantra,2020,21000,9
Subaru Outback,2017,27000,6
Kia Sportage,2019,24000,7
Mazda CX-5,2021,28000,5
Jeep Wrangler,2018,35000,4
GMC Terrain,2017,23000,6
Audi A4,2020,42000,3
BMW 3 Series,2022,48000,2
Mercedes-Benz C-Class,2019,45000,3
Lexus ES,2018,40000,2
Infiniti Q50,2017,38000,4
Acura TLX,2020,36000,3
Volvo S60,2019,41000,2
Tesla Model 3,2022,50000,1
Hyundai Sonata,2021,28000,5
Kia Optima,2018,26000,6
Mazda6,2017,23000,7
Honda Fit,2020,19000,8
Toyota Yaris,2019,18000,9
Nissan Versa,2018,17000,10
Ford Fiesta,2017,16000,11
Chevrolet Spark,2020,15000,12
Volkswagen Golf,2021,22000,7
Subaru Impreza,2018,21000,8
Kia Forte,2017,20000,9
Mitsubishi Mirage,2020,14000,10
Mini Cooper,2019,28000,5
Fiat 500,2018,26000,6
Hyundai Accent,2017,24000,7
Toyota Prius,2020,23000,8
Nissan Leaf,2021,22000,9
Chevrolet Bolt,2018,21000,10
