Car Model,Year,Price,Quantity,Revenue,Month
Honda Civic,2019-01-01,20000,10,200000,1
Toyota Camry,2018-01-01,25000,8,200000,1
Ford Mustang,2020-01-01,35000,5,175000,1
Chevrolet Malibu,2017-01-01,22000,12,264000,1
Honda Accord,2019-01-01,23000,7,161000,1
Toyota Corolla,2021-01-01,24000,9,216000,1
Ford Fusion,2018-01-01,18000,6,108000,1
Chevrolet Cruze,2017-01-01,16000,11,176000,1
Honda CR-V,2020-01-01,28000,8,224000,1
Toyota RAV4,2022-01-01,32000,6,192000,1
Ford Escape,2018-01-01,20000,9,180000,1
Chevrolet Equinox,2019-01-01,22000,10,220000,1
Honda Pilot,2017-01-01,30000,4,120000,1
Toyota Highlander,2020-01-01,38000,7,266000,1
Ford Explorer,2021-01-01,40000,5,200000,1
Nissan Sentra,2019-01-01,19000,8,152000,1
Volkswagen Jetta,2018-01-01,22000,7,154000,1
Hyundai Elantra,2020-01-01,21000,9,189000,1
Subaru Outback,2017-01-01,27000,6,162000,1
Kia Sportage,2019-01-01,24000,7,168000,1
Mazda CX-5,2021-01-01,28000,5,140000,1
Jeep Wrangler,2018-01-01,35000,4,140000,1
GMC Terrain,2017-01-01,23000,6,138000,1
Audi A4,2020-01-01,42000,3,126000,1
BMW 3 Series,2022-01-01,48000,2,96000,1
Mercedes-Benz C-Class,2019-01-01,45000,3,135000,1
Lexus ES,2018-01-01,40000,2,80000,1
Infiniti Q50,2017-01-01,38000,4,152000,1
Acura TLX,2020-01-01,36000,3,108000,1
Volvo S60,2019-01-01,41000,2,82000,1
Tesla Model 3,2022-01-01,50000,1,50000,1
Hyundai Sonata,2021-01-01,28000,5,140000,1
Kia Optima,2018-01-01,26000,6,156000,1
Mazda6,2017-01-01,23000,7,161000,1
Honda Fit,2020-01-01,19000,8,152000,1
Toyota Yaris,2019-01-01,18000,9,162000,1
Nissan Versa,2018-01-01,17000,10,170000,1
Ford Fiesta,2017-01-01,16000,11,176000,1
Chevrolet Spark,2020-01-01,15000,12,180000,1
Volkswagen Golf,2021-01-01,22000,7,154000,1
Subaru Impreza,2018-01-01,21000,8,168000,1
Kia Forte,2017-01-01,20000,9,180000,1
Mitsubishi Mirage,2020-01-01,14000,10,140000,1
Mini Cooper,2019-01-01,28000,5,140000,1
Fiat 500,2018-01-01,26000,6,156000,1
Hyundai Accent,2017-01-01,24000,7,168000,1
Toyota Prius,2020-01-01,23000,8,184000,1
Nissan Leaf,2021-01-01,22000,9,198000,1
Chevrolet Bolt,2018-01-01,21000,10,210000,1
